TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
255;1;1;81;0;0;REQ012REQ004
537;0;0;79;2;0;REQ001
855;1;2;81;0;0;REQ012REQ004
1122;0;2;81;3;3;REQ017REQ003
1433;0;2;79;2;3;REQ001
1666;0;2;80;2;3;
1947;1;2;79;2;0;REQ012
2272;0;2;79;2;3;REQ017
2585;1;2;79;2;0;REQ012
2912;0;0;81;0;0;REQ004
3159;0;0;79;2;0;REQ001
3458;1;2;79;2;0;REQ012
3711;1;1;81;1;1;REQ013REQ002
4051;1;0;80;2;0;REQ015REQ001
4383;1;0;80;2;0;
4724;0;2;79;2;3;REQ011
5045;0;2;80;2;3;
5270;1;1;81;0;0;REQ008REQ012REQ004
5492;1;0;80;2;0;REQ001
5768;0;0;81;0;0;REQ004
6019;0;1;79;2;1;REQ010REQ001
6320;0;1;80;2;1;
6642;0;2;81;3;3;REQ011REQ003
6928;0;0;79;2;3;REQ001
7172;1;1;81;0;0;REQ003REQ012REQ004
