TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
46;false;false;false;true;1;REQ002
79;false;false;false;false;3;REQ004
125;true;false;true;false;4;REQ005
161;false;false;false;false;3;REQ004
212;true;true;true;false;3;
242;false;true;false;false;5;REQ007
253;false;false;false;false;3;REQ004
297;true;true;true;false;3;
338;false;true;false;true;5;REQ007
351;false;false;true;false;2;REQ003
388;true;true;false;true;2;
425;false;false;true;false;2;REQ003
465;false;true;false;false;5;REQ007
513;true;false;true;false;4;REQ005
544;false;true;true;false;5;REQ007
569;true;false;false;true;4;REQ005
584;false;true;false;false;5;REQ007
593;false;false;false;true;1;REQ002
623;false;true;false;false;5;REQ007
674;false;true;false;true;5;REQ007
700;true;true;false;false;5;REQ008
724;true;true;false;false;5;
738;false;false;true;false;2;REQ003
773;true;true;false;true;2;
802;true;true;false;false;2;
