TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;true;0;0;REQ001
5;false;true;0;0;
7;false;false;0;0;
10;true;false;3;0;REQ002
12;true;true;3;0;
14;true;false;3;0;
17;false;false;3;0;
20;false;false;1;1;REQ004
23;false;false;1;1;
25;false;true;0;1;REQ001
28;false;true;0;1;
30;false;false;0;1;
33;true;false;3;1;REQ002
36;true;true;3;1;
38;true;false;3;1;
41;false;false;3;1;
43;false;false;1;1;REQ004
46;true;true;0;1;REQ001
49;false;false;0;1;
51;false;true;0;1;
54;false;false;0;1;
57;true;true;0;1;
59;true;false;0;1;
62;false;false;0;1;
65;true;true;0;1;
68;true;true;0;1;
70;true;true;0;1;
72;false;false;0;1;
74;true;true;0;1;
77;true;false;0;1;
80;false;true;0;1;
82;false;false;0;1;
