TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
30;true;false;false;false;4;REQ005
78;true;true;false;false;4;REQ006
102;false;true;true;true;5;REQ007
119;true;true;false;false;5;REQ008
129;true;true;true;true;5;
150;false;true;true;true;5;REQ007
161;true;true;true;false;5;REQ008
176;false;false;true;true;0;REQ001
205;true;false;false;false;4;REQ005
227;true;true;false;true;4;REQ006
269;true;true;true;true;4;
307;false;true;true;false;5;REQ007
330;true;true;true;true;5;REQ008
364;true;false;true;true;4;REQ005
407;false;true;false;true;5;REQ007
445;false;true;true;false;5;REQ007
455;false;false;false;true;1;REQ002
473;false;false;true;true;0;REQ001
520;false;true;true;true;5;REQ007
538;false;false;false;true;1;REQ002
576;true;true;true;true;1;
607;false;true;false;true;5;REQ007
642;true;false;true;true;4;REQ005
679;false;false;true;true;0;REQ001
718;true;false;true;false;4;REQ005
