TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
46;true;2;true;on ;low ;false;
81;false;1;false;on ;low ;false;
126;true;7;false;off ;low ;true;REQ005REQ009
149;false;8;true;on ;low ;false;REQ006REQ010
173;true;7;false;off ;low ;true;REQ005REQ009
199;false;6;false;off ;low ;true;
231;true;3;true;on ;low ;false;REQ006REQ010
271;false;7;false;on ;low ;false;
295;true;10;false;off ;high ;false;REQ005REQ009REQ001REQ002REQ007
340;true;7;false;on ;low ;false;REQ004REQ003REQ010
387;true;7;true;on ;low ;false;
423;true;1;false;on ;low ;false;
460;false;6;false;on ;low ;false;
505;false;9;false;off ;permitted ;false;REQ001REQ011
523;true;0;true;on ;low ;false;REQ003REQ010
537;true;9;false;off ;permitted ;false;REQ001REQ011
552;true;11;false;off ;high ;false;REQ002
574;false;8;false;on ;low ;false;REQ004REQ003REQ010
591;true;7;false;off ;low ;true;REQ005REQ009
639;true;6;false;off ;low ;true;
677;false;1;false;off ;low ;true;
701;true;8;false;off ;low ;true;
726;true;0;false;off ;low ;true;
739;false;6;false;off ;low ;true;
762;false;9;false;off ;permitted ;true;REQ001
791;true;0;true;on ;low ;false;REQ003REQ006REQ010
817;true;5;false;on ;low ;false;
832;false;11;true;off ;high ;false;REQ001REQ011REQ002
861;false;6;false;on ;low ;false;REQ004REQ003REQ010
875;false;9;true;off ;permitted ;false;REQ001REQ011
909;true;7;false;off ;low ;true;REQ005REQ003
949;false;11;false;off ;high ;false;REQ001REQ002REQ008
997;false;0;false;on ;low ;false;REQ004REQ003REQ010
1030;true;8;false;off ;low ;true;REQ005REQ009
1071;false;1;true;on ;low ;false;REQ006REQ010
1088;true;0;true;on ;low ;false;
