TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;true;0;0;REQ001
4;true;true;0;0;
7;true;false;0;0;
9;true;false;0;0;
11;true;false;0;0;
14;false;false;0;0;
16;false;false;0;0;
19;true;true;0;0;
21;true;true;0;0;
24;false;false;0;0;
26;false;false;0;0;
29;true;false;3;0;REQ002
32;false;true;3;0;
35;false;true;3;0;
38;true;false;3;0;
40;false;true;0;1;REQ004REQ001
42;true;true;0;1;
44;true;false;0;1;
47;false;true;0;1;
49;true;false;0;1;
52;false;true;0;1;
55;true;false;0;1;
57;false;false;0;1;
60;true;false;3;1;REQ002
63;false;false;3;1;
65;true;true;3;1;
67;true;false;3;1;
69;true;false;3;1;
71;true;true;0;1;REQ004REQ001
74;false;true;0;1;
77;false;true;0;1;
80;false;true;0;1;
