TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
279;1;2;79;2;0;REQ012
609;0;1;80;2;1;REQ010
871;1;2;80;2;0;REQ012
1167;0;1;79;2;1;REQ010
1453;0;2;79;2;3;REQ011
1741;0;2;79;2;3;
2005;0;0;81;3;3;REQ003
2226;1;2;80;2;0;REQ012REQ001
2480;0;1;79;2;1;REQ010
2743;1;1;80;2;0;REQ012
3005;1;1;81;0;0;REQ004
3342;0;0;81;0;0;REQ004
3601;1;0;79;2;0;REQ012REQ001
3928;1;0;81;0;0;REQ004
4255;0;0;79;2;0;REQ001
4549;0;0;79;2;0;
4812;1;2;79;2;0;REQ012
5131;1;1;80;2;1;REQ013
5440;1;2;80;2;3;REQ014
5671;0;0;81;3;3;REQ008REQ003
5915;0;2;79;2;3;REQ001REQ011
6138;1;1;80;2;0;REQ012
6380;0;0;80;2;0;
6721;0;0;81;0;0;REQ009REQ004
7060;1;2;79;2;0;REQ012REQ001
