TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
15;true;false;true;false;4;REQ005
31;false;true;false;true;5;REQ007
53;false;true;false;true;5;REQ007
68;false;false;false;false;3;REQ004
95;true;false;true;false;4;REQ005
142;true;true;true;false;4;REQ006
168;false;true;false;false;5;REQ007
199;false;true;false;true;5;REQ007
240;true;true;false;true;5;REQ008
254;true;false;false;true;4;REQ005
286;false;false;false;true;1;REQ002
327;false;false;true;false;2;REQ003
342;true;false;false;false;4;REQ005
374;true;true;false;true;4;REQ006
401;false;false;true;true;0;REQ001
427;true;true;false;true;0;
466;true;false;false;true;4;REQ005
504;false;true;true;true;5;REQ007
550;true;true;true;false;5;REQ008
572;false;false;false;true;1;REQ002
592;true;false;true;true;4;REQ005
617;true;false;false;true;4;REQ005
655;true;true;false;true;4;REQ006
668;true;true;true;false;4;
698;false;true;true;false;5;REQ007
