TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;true;0;0;REQ001
5;false;false;0;0;
7;true;false;3;0;REQ002
10;false;true;3;0;
12;false;false;3;0;
14;false;false;3;0;
17;false;false;1;1;REQ004
20;false;false;1;1;
23;false;false;1;1;
26;true;false;1;1;
29;false;false;1;1;
31;false;true;0;1;REQ001
33;false;true;0;1;
35;true;true;0;1;
37;true;true;0;1;
40;false;false;0;1;
43;true;true;0;1;
46;true;false;0;1;
48;false;false;0;1;
50;true;false;3;1;REQ002
53;false;false;3;1;
55;true;true;3;1;
58;true;false;3;1;
61;true;true;0;1;REQ004REQ001
64;false;false;0;1;
66;true;true;0;1;
68;false;false;0;1;
71;false;true;0;1;
74;false;false;0;1;
77;false;false;0;1;
80;false;true;0;1;
83;false;false;0;1;
