TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
47;true;false;true;true;4;REQ005
96;false;true;false;false;5;REQ007
134;true;false;false;true;4;REQ005
184;false;false;false;false;3;REQ004
214;false;false;false;false;3;REQ004
237;false;true;false;false;5;REQ007
249;false;true;true;true;5;REQ007
275;false;true;true;false;5;REQ007
322;true;true;true;false;5;REQ008
335;true;true;false;true;5;
372;false;true;true;false;5;REQ007
423;true;true;true;true;5;REQ008
442;true;true;true;false;5;
478;false;true;false;true;5;REQ007
502;true;true;false;false;5;REQ008
539;true;true;true;true;5;
566;false;false;false;true;1;REQ002
605;false;true;true;false;5;REQ007
656;false;true;true;true;5;REQ007
665;false;false;false;true;1;REQ002
707;true;true;true;true;1;
733;false;true;true;false;5;REQ007
783;false;false;true;true;0;REQ001
828;true;true;false;false;0;
837;false;true;false;true;5;REQ007
