TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
30;true;true;false;true;3;
77;true;false;true;false;4;REQ005
101;false;true;true;false;5;REQ007
136;false;false;true;true;0;REQ001
168;false;false;true;false;2;REQ003
201;true;true;true;false;2;
225;false;false;false;false;3;REQ004
235;false;false;false;false;3;REQ004
256;false;true;false;false;5;REQ007
280;false;false;false;false;3;REQ004
304;true;false;false;true;4;REQ005
354;true;false;true;true;4;REQ005
377;true;false;false;true;4;REQ005
423;false;false;false;false;3;REQ004
469;false;true;false;true;5;REQ007
504;false;false;false;false;3;REQ004
528;false;false;false;true;1;REQ002
572;true;false;false;true;4;REQ005
612;false;true;true;false;5;REQ007
625;true;true;false;false;5;REQ008
643;true;false;true;true;4;REQ005
653;false;true;true;false;5;REQ007
670;true;false;false;false;4;REQ005
721;false;true;true;false;5;REQ007
771;true;false;true;true;4;REQ005
