TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
315;0;1;79;2;1;REQ010
574;0;0;79;2;1;
828;1;1;80;2;0;REQ012
1049;1;1;81;0;0;REQ004
1377;0;0;79;2;0;REQ001
1703;0;1;79;2;1;REQ010
1984;1;1;80;2;0;REQ012
2256;0;1;81;1;1;REQ009REQ004REQ016REQ002
2495;0;1;81;1;1;REQ002
2748;0;2;81;3;3;REQ011REQ003
3057;0;2;79;2;3;REQ001
3355;0;0;79;2;3;
3635;0;0;79;2;3;
3920;1;0;80;2;0;REQ012
4162;1;2;81;3;3;REQ014REQ003
4478;0;1;81;1;1;REQ010REQ002
4722;1;2;81;0;0;REQ002REQ012REQ004
4988;0;1;79;2;1;REQ001REQ010
5288;0;0;79;2;1;
5570;1;2;81;0;0;REQ007REQ002REQ012REQ004
5884;0;2;79;2;3;REQ001REQ017
6160;1;1;80;2;0;REQ012
6476;1;2;80;2;3;REQ014
6774;0;0;81;3;3;REQ003
7027;0;1;80;2;1;REQ001REQ010
