TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
12;true;6;true;on ;low ;false;
38;true;3;false;on ;low ;false;
58;true;8;true;on ;low ;false;
87;true;10;true;off ;high ;false;REQ001REQ002REQ011
96;false;0;true;on ;low ;false;REQ004REQ003REQ010
125;true;1;true;on ;low ;false;
135;false;4;false;on ;low ;false;
179;true;3;false;off ;low ;true;REQ005REQ009
189;false;2;true;on ;low ;false;REQ006REQ010
218;true;6;false;off ;low ;true;REQ005REQ009
253;false;5;true;on ;low ;false;REQ006REQ010
265;false;3;true;on ;low ;false;
311;true;8;true;on ;low ;false;
338;true;2;false;on ;low ;false;
368;true;4;false;on ;low ;false;
381;true;7;false;on ;low ;false;
429;false;0;false;on ;low ;false;
479;true;11;false;off ;high ;false;REQ005REQ001REQ011REQ002REQ007
488;true;8;true;on ;low ;false;REQ004REQ003REQ010
516;false;5;true;on ;low ;false;
535;true;4;false;off ;low ;true;REQ005REQ009
563;false;8;true;on ;low ;false;REQ006REQ010
585;true;11;true;off ;high ;false;REQ001REQ011REQ002
611;true;11;true;off ;high ;false;
639;false;4;true;on ;low ;false;REQ004REQ003REQ010
688;true;6;true;on ;low ;false;
736;true;4;false;on ;low ;false;
747;false;9;true;off ;permitted ;false;REQ001REQ011
778;true;4;false;off ;low ;true;REQ005REQ003
810;true;1;true;on ;low ;false;REQ006REQ010
857;false;4;false;on ;low ;false;
892;false;9;false;off ;permitted ;false;REQ001REQ011
942;false;7;true;on ;low ;false;REQ003REQ010
962;false;0;true;on ;low ;false;
973;true;3;true;on ;low ;false;
1012;true;2;true;on ;low ;false;
