TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
26;false;8;true;on ;low ;false;
54;true;6;true;on ;low ;false;
78;false;0;false;on ;low ;false;
92;true;1;false;off ;low ;true;REQ005REQ009
122;false;11;true;off ;high ;false;REQ006REQ001REQ002
159;true;6;true;on ;low ;false;REQ004REQ003REQ010
179;true;7;false;on ;low ;false;
212;true;9;true;off ;permitted ;false;REQ001REQ011
222;false;10;false;off ;high ;false;REQ002
266;true;9;true;off ;permitted ;false;REQ004
304;false;7;true;on ;low ;false;REQ003REQ010
325;false;10;true;off ;high ;false;REQ001REQ002REQ011
357;false;5;true;on ;low ;false;REQ004REQ003REQ010
391;true;9;false;off ;permitted ;true;REQ001REQ011REQ005
420;false;8;false;off ;low ;true;REQ003
432;false;0;true;on ;low ;false;REQ006REQ010
467;true;6;true;on ;low ;false;
510;false;11;false;off ;high ;false;REQ001REQ011REQ002
549;false;9;true;off ;permitted ;false;REQ004
566;false;3;true;on ;low ;false;REQ003REQ010
602;true;7;false;off ;low ;true;REQ005REQ009
629;true;9;false;off ;permitted ;true;REQ001
673;false;9;false;off ;permitted ;true;
689;false;5;true;on ;low ;false;REQ006REQ003REQ010
702;false;3;true;on ;low ;false;
728;true;2;true;on ;low ;false;
762;false;4;true;on ;low ;false;
779;false;4;false;on ;low ;false;
807;true;10;true;off ;high ;false;REQ001REQ002REQ011
848;true;0;false;on ;low ;false;REQ004REQ003REQ010
874;true;1;false;on ;low ;false;
914;false;0;false;on ;low ;false;
961;true;7;true;on ;low ;false;
1009;false;10;true;off ;high ;false;REQ001REQ002REQ011
1021;true;1;false;off ;low ;true;REQ004REQ003REQ010REQ005REQ009
1058;true;11;true;off ;high ;false;REQ006REQ010REQ001REQ011REQ002
