TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
270;0;0;80;2;2;
566;0;1;80;2;1;REQ010
902;1;0;81;0;0;REQ002REQ012REQ004
1130;0;1;80;2;1;REQ001REQ010
1387;0;1;79;2;1;
1707;0;0;81;1;1;REQ007REQ002
1999;1;1;81;0;0;REQ012REQ004
2258;0;1;79;2;1;REQ016REQ001
2574;0;1;81;1;1;REQ002
2895;1;2;80;2;0;REQ001REQ012
3154;0;1;79;2;1;REQ010
3386;1;0;79;2;0;REQ012
3714;0;1;79;2;1;REQ010
4024;0;2;81;3;3;REQ002REQ011REQ003
4280;1;2;81;0;0;REQ003REQ012REQ004
4579;0;2;80;2;3;REQ001REQ017
4835;1;2;81;0;0;REQ008REQ012REQ004
5085;1;0;79;2;0;REQ001
5408;1;1;79;2;1;REQ013
5739;0;2;80;2;3;REQ011
5977;1;1;81;0;0;REQ003REQ012REQ004
6238;1;2;81;3;3;REQ014REQ003
6545;1;2;80;2;3;REQ001
6852;1;1;81;1;1;REQ003REQ013REQ002
7103;1;2;81;3;3;REQ002REQ014REQ003
