TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;true;0;0;REQ001
6;true;true;0;0;
8;true;false;0;0;
10;true;false;0;0;
13;false;false;0;0;
15;true;false;3;0;REQ002
17;true;true;3;0;
20;true;false;3;0;
23;true;true;3;0;
26;true;false;1;1;REQ004
28;true;true;0;1;REQ001
31;true;true;0;1;
33;true;false;0;1;
36;true;true;0;1;
39;true;true;0;1;
41;true;true;0;1;
43;true;false;0;1;
45;true;true;0;1;
47;false;true;0;1;
49;true;true;0;1;
52;true;true;0;1;
55;false;true;0;1;
58;true;true;0;1;
61;true;true;0;1;
64;false;true;0;1;
66;false;false;0;1;
68;true;true;0;1;
71;true;false;0;1;
73;false;true;0;1;
75;true;true;0;1;
78;true;false;0;1;
81;true;false;0;1;
