TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
308;1;0;81;0;0;REQ012REQ004
541;1;0;79;2;0;REQ001
804;1;0;81;0;0;REQ004
1116;1;2;81;3;3;REQ004REQ014REQ003
1355;0;2;80;2;3;REQ001
1662;0;0;81;3;3;REQ008REQ003
1923;1;0;80;2;0;REQ012REQ001
2221;1;0;79;2;0;
2519;1;1;79;2;1;REQ013
2785;1;0;80;2;0;REQ015
3021;1;2;81;3;3;REQ014REQ003
3321;1;1;80;2;1;REQ001REQ013
3632;0;1;80;2;1;
3911;1;1;80;2;0;REQ012
4175;1;2;79;2;3;REQ014
4440;1;2;81;3;3;REQ008REQ003
4745;0;2;79;2;3;REQ001
5054;0;0;81;3;3;REQ003
5335;0;0;81;3;3;REQ003
5604;1;2;79;2;0;REQ001REQ012
5861;1;0;79;2;0;
6091;1;2;79;2;3;REQ014
6314;1;0;81;0;0;REQ008REQ015REQ004
6644;1;2;79;2;3;REQ001REQ014
6943;0;1;80;2;1;REQ010
