TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
44;false;true;false;true;5;REQ007
68;false;true;true;false;5;REQ007
81;true;true;false;false;5;REQ008
130;false;true;true;false;5;REQ007
148;true;true;false;false;5;REQ008
182;false;true;false;true;5;REQ007
214;false;true;true;false;5;REQ007
238;false;true;true;true;5;REQ007
257;false;true;true;false;5;REQ007
277;true;false;false;true;4;REQ005
319;false;false;false;false;3;REQ004
342;false;true;true;false;5;REQ007
387;false;false;true;true;0;REQ001
411;true;false;true;false;4;REQ005
459;true;true;true;false;4;REQ006
494;true;true;false;false;4;
538;false;true;true;false;5;REQ007
548;false;false;true;true;0;REQ001
595;true;false;false;true;4;REQ005
644;true;true;false;false;4;REQ006
690;false;true;false;false;5;REQ007
734;false;false;false;true;1;REQ002
774;false;true;true;false;5;REQ007
785;true;true;false;true;5;REQ008
817;false;false;true;false;2;REQ003
