TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
265;0;0;80;2;2;
575;1;2;81;0;0;REQ005REQ012REQ004
894;0;2;81;3;3;REQ004REQ017REQ003
1124;1;0;79;2;0;REQ012REQ001
1420;1;0;79;2;0;
1700;0;2;79;2;3;REQ011
2036;1;0;81;0;0;REQ003REQ012REQ004
2263;0;2;79;2;3;REQ011REQ001
2541;0;2;80;2;3;
2864;0;1;79;2;1;REQ010
3177;0;0;81;1;1;REQ007REQ002
3422;0;0;80;2;1;REQ001
3717;0;0;81;1;1;REQ007REQ002
3956;1;0;79;2;0;REQ001REQ012
4275;1;0;80;2;0;
4590;0;2;79;2;3;REQ011
4920;1;0;80;2;0;REQ012
5178;1;1;80;2;1;REQ013
5401;1;1;79;2;1;
5651;0;2;79;2;3;REQ011
5897;1;2;80;2;0;REQ012
6157;1;0;80;2;0;
6478;1;1;81;1;1;REQ013REQ002
6707;0;0;81;1;1;REQ002
6941;0;0;81;1;1;REQ002
