TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;true;0;0;REQ001
5;false;true;0;0;
8;true;false;0;0;
11;true;true;0;0;
13;false;true;0;0;
16;false;true;0;0;
19;false;false;0;0;
21;false;false;0;0;
23;false;false;0;0;
26;true;false;3;0;REQ002
29;false;true;3;0;
32;false;false;3;0;
34;true;true;3;0;
36;false;false;1;1;REQ004
38;false;true;0;1;REQ001
41;true;true;0;1;
44;true;false;0;1;
47;true;true;0;1;
50;false;false;0;1;
53;true;true;0;1;
55;true;false;0;1;
58;false;false;0;1;
60;false;false;0;1;
62;true;true;0;1;
64;false;false;0;1;
67;true;false;3;1;REQ002
69;true;true;3;1;
72;true;true;3;1;
75;true;false;3;1;
78;false;false;1;1;REQ004
81;false;false;1;1;
83;false;false;1;1;
