TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
37;false;true;true;true;5;REQ007
62;false;true;false;false;5;REQ007
73;false;true;true;true;5;REQ007
95;true;true;false;false;5;REQ008
116;true;true;false;true;5;
131;false;false;false;true;1;REQ002
173;false;true;true;true;5;REQ007
195;true;false;false;true;4;REQ005
218;false;false;true;false;2;REQ003
267;true;false;true;true;4;REQ005
296;true;false;false;false;4;REQ005
336;true;true;false;true;4;REQ006
364;false;false;false;false;3;REQ004
383;true;false;true;false;4;REQ005
407;false;true;true;true;5;REQ007
446;false;true;false;true;5;REQ007
481;false;false;true;true;0;REQ001
499;true;false;false;true;4;REQ005
517;false;true;false;true;5;REQ007
549;false;true;true;true;5;REQ007
576;true;false;true;true;4;REQ005
590;false;false;true;true;0;REQ001
626;true;true;true;true;0;
652;false;false;false;true;1;REQ002
689;true;true;true;false;1;
