TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;true;0;0;REQ001
6;true;true;0;0;
9;true;false;0;0;
11;true;false;0;0;
13;false;true;0;0;
15;true;false;0;0;
17;false;true;0;0;
20;true;true;0;0;
22;false;true;0;0;
25;true;false;0;0;
27;false;false;0;0;
29;false;true;0;0;
32;true;true;0;0;
34;false;true;0;0;
37;false;true;0;0;
39;true;true;0;0;
42;true;false;0;0;
44;true;true;0;0;
47;false;false;0;0;
49;true;true;0;0;
51;false;true;0;0;
53;false;false;0;0;
56;true;false;2;0;REQ003
58;false;true;2;0;
61;true;false;2;0;
64;false;true;2;0;
67;false;true;2;0;
69;true;false;2;0;
72;false;true;2;0;
74;false;true;2;0;
76;false;false;2;0;
79;true;true;2;0;
