TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
225;0;0;79;2;2;
526;1;0;80;2;0;REQ012
806;0;1;81;1;1;REQ010REQ002
1039;1;2;80;2;0;REQ012REQ001
1277;0;0;80;2;0;
1610;0;0;81;0;0;REQ009REQ004
1898;1;1;80;2;0;REQ001REQ012
2194;1;0;79;2;0;
2521;0;1;79;2;1;REQ010
2757;0;2;81;3;3;REQ002REQ011REQ003
3052;0;1;81;1;1;REQ003REQ010REQ002
3300;0;2;81;3;3;REQ011REQ003
3637;0;1;81;1;1;REQ010REQ002
3881;0;2;81;3;3;REQ011REQ003
4163;1;0;80;2;0;REQ001REQ012
4472;1;2;79;2;3;REQ014
4706;0;2;81;3;3;REQ008REQ003
4958;1;1;79;2;0;REQ001REQ012
5230;0;1;79;2;1;REQ016
5504;0;1;79;2;1;
5786;1;2;80;2;0;REQ012
6041;1;1;79;2;1;REQ013
6342;1;1;80;2;1;
6585;0;1;80;2;1;
6862;0;0;80;2;1;
