TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
311;0;2;79;2;3;REQ011
621;0;0;81;3;3;REQ008REQ003
936;1;1;81;0;0;REQ003REQ012REQ004
1189;0;0;79;2;0;REQ001
1438;0;0;80;2;0;
1730;0;1;79;2;1;REQ010
2012;0;2;80;2;3;REQ011
2242;0;2;80;2;3;
2468;0;0;81;3;3;REQ008REQ003
2705;0;2;79;2;3;REQ011REQ001
2927;1;1;79;2;0;REQ012
3235;0;2;80;2;3;REQ011
3524;0;1;79;2;1;REQ010
3748;0;2;79;2;3;REQ011
4013;1;2;81;0;0;REQ003REQ012REQ004
4265;1;2;80;2;0;REQ001
4605;1;0;79;2;0;
4894;0;0;81;0;0;REQ009REQ004
5118;0;2;81;3;3;REQ004REQ011REQ003
5405;0;0;80;2;3;REQ001
5667;0;1;81;1;1;REQ008REQ010REQ002
5889;0;0;80;2;1;REQ001
6222;0;1;79;2;1;REQ010
6486;1;1;80;2;0;REQ012
6805;0;0;81;0;0;REQ004
