TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
37;false;true;true;false;5;REQ007
68;false;false;true;true;0;REQ001
99;true;true;false;false;0;
116;false;true;false;true;5;REQ007
126;true;true;true;false;5;REQ008
172;false;false;false;false;3;REQ004
221;true;true;false;false;3;
247;false;false;true;false;2;REQ003
273;true;false;true;false;4;REQ005
296;false;false;true;false;2;REQ003
347;false;false;false;false;3;REQ004
358;true;true;false;true;3;
407;false;true;true;false;5;REQ007
432;true;true;false;false;5;REQ008
456;true;false;false;true;4;REQ005
488;true;false;true;true;4;REQ005
526;false;false;false;true;1;REQ002
545;true;true;true;false;1;
596;true;false;true;false;4;REQ005
620;false;true;true;false;5;REQ007
638;false;false;false;false;3;REQ004
651;true;false;false;true;4;REQ005
698;true;true;false;true;4;REQ006
723;false;false;false;true;1;REQ002
752;false;true;true;true;5;REQ007
