TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;true;false;1;0;
4;true;true;0;0;REQ001
6;false;true;0;0;
9;true;false;0;0;
12;false;false;0;0;
14;false;false;0;0;
17;true;true;0;0;
20;true;true;0;0;
22;true;false;0;0;
25;false;false;0;0;
28;false;false;0;0;
30;false;true;0;0;
32;true;true;0;0;
35;false;false;0;0;
38;false;false;0;0;
40;true;true;0;0;
42;true;false;0;0;
45;true;false;0;0;
47;true;false;0;0;
49;false;true;0;0;
52;true;false;0;0;
54;true;true;0;0;
57;false;true;0;0;
60;true;true;0;0;
62;true;true;0;0;
65;false;true;0;0;
68;false;false;0;0;
70;false;false;0;0;
73;true;true;0;0;
75;false;true;0;0;
78;false;true;0;0;
80;true;true;0;0;
