TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
305;1;2;81;0;0;REQ012REQ004
529;0;1;80;2;1;REQ001REQ010
764;0;0;79;2;1;
1069;0;2;80;2;3;REQ011
1400;1;2;80;2;0;REQ012
1729;0;2;81;3;3;REQ004REQ017REQ003
2030;0;0;79;2;3;REQ001
2325;1;0;80;2;0;REQ012
2568;1;2;79;2;3;REQ014
2897;0;2;80;2;3;
3224;0;0;80;2;3;
3565;0;2;79;2;3;REQ011
3820;0;0;79;2;3;
4069;1;0;79;2;0;REQ012
4352;1;1;79;2;1;REQ013
4585;0;0;79;2;1;
4844;0;0;81;1;1;REQ007REQ002
5079;0;1;80;2;1;REQ010REQ001
5346;1;0;80;2;0;REQ012
5604;0;2;79;2;3;REQ011
5865;1;1;79;2;0;REQ012
6140;1;0;79;2;0;
6451;0;1;81;1;1;REQ004REQ010REQ002
6782;1;2;81;0;0;REQ012REQ004
7111;0;1;79;2;1;REQ001REQ010
