TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
15;true;true;true;true;3;
45;true;false;true;false;4;REQ005
68;true;true;true;true;4;REQ006
87;true;false;false;true;4;REQ005
119;true;false;true;true;4;REQ005
141;false;true;false;false;5;REQ007
190;true;true;true;false;5;REQ008
233;true;false;true;true;4;REQ005
273;false;false;true;true;0;REQ001
287;true;true;true;false;0;
299;false;false;true;false;2;REQ003
334;false;false;false;true;1;REQ002
374;true;false;true;true;4;REQ005
418;true;false;true;true;4;REQ005
434;false;true;false;false;5;REQ007
477;false;false;false;false;3;REQ004
512;false;false;false;true;1;REQ002
528;true;true;true;true;1;
542;true;true;false;true;1;
562;false;true;false;false;5;REQ007
593;true;false;true;true;4;REQ005
621;true;true;true;true;4;REQ006
652;true;false;false;true;4;REQ005
679;false;true;true;true;5;REQ007
689;false;false;false;false;3;REQ004
