TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
20;true;true;true;true;3;
36;true;false;true;true;4;REQ005
52;true;false;false;true;4;REQ005
78;false;true;true;true;5;REQ007
126;true;false;false;true;4;REQ005
170;true;false;true;false;4;REQ005
180;false;false;false;true;1;REQ002
218;false;false;true;true;0;REQ001
233;true;true;true;true;0;
275;true;false;false;false;4;REQ005
317;true;true;false;true;4;REQ006
355;true;false;true;true;4;REQ005
378;false;true;false;false;5;REQ007
401;false;false;true;false;2;REQ003
433;false;false;false;true;1;REQ002
483;true;true;true;true;1;
521;true;false;false;true;4;REQ005
537;true;false;true;false;4;REQ005
580;false;false;true;true;0;REQ001
609;true;false;false;true;4;REQ005
632;true;true;false;false;4;REQ006
669;true;true;true;true;4;
715;true;true;false;true;4;
725;false;false;true;false;2;REQ003
746;true;false;true;false;4;REQ005
