TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;false;1;0;
5;true;true;0;0;REQ001
8;true;false;0;0;
10;true;false;0;0;
13;false;true;0;0;
15;true;true;0;0;
18;false;false;0;0;
20;false;false;0;0;
22;false;false;0;0;
24;true;false;3;0;REQ002
26;true;true;3;0;
29;true;true;3;0;
32;true;false;3;0;
35;false;false;1;1;REQ004
37;false;false;1;1;
39;false;true;0;1;REQ001
41;true;false;0;1;
44;true;false;0;1;
47;false;false;0;1;
50;false;false;0;1;
53;false;true;0;1;
55;true;false;0;1;
58;false;true;0;1;
61;false;false;0;1;
63;false;true;0;1;
66;false;true;0;1;
69;true;true;0;1;
72;true;true;0;1;
75;true;false;0;1;
77;false;true;0;1;
80;true;false;0;1;
82;true;false;0;1;
