TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
272;1;2;80;2;0;REQ012
563;0;2;80;2;3;REQ017
804;1;1;79;2;0;REQ012
1111;0;0;80;2;0;
1391;0;0;81;0;0;REQ009REQ004
1613;1;0;79;2;0;REQ012REQ001
1879;0;0;79;2;0;
2192;0;1;81;1;1;REQ004REQ010REQ002
2455;0;2;80;2;3;REQ001REQ011
2741;0;1;79;2;1;REQ010
2962;0;0;81;1;1;REQ002
3278;1;0;79;2;0;REQ012REQ001
3578;0;0;80;2;0;
3857;0;2;81;3;3;REQ004REQ011REQ003
4187;1;1;80;2;0;REQ001REQ012
4442;0;2;80;2;3;REQ011
4755;1;2;80;2;0;REQ012
5015;1;1;81;1;1;REQ004REQ013REQ002
5275;1;1;81;1;1;REQ002
5534;0;0;79;2;1;REQ001
5791;0;2;81;3;3;REQ007REQ002REQ011REQ003
6085;1;1;80;2;0;REQ012REQ001
6351;0;2;80;2;3;REQ011
6614;0;0;79;2;3;
6910;0;0;79;2;3;
