TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;false;1;0;
5;false;true;0;0;REQ001
8;false;false;0;0;
10;true;true;0;0;
12;false;false;0;0;
14;false;false;0;0;
17;true;false;3;0;REQ002
20;true;true;3;0;
23;false;false;3;0;
26;true;true;3;0;
29;false;true;1;1;REQ004
32;false;false;1;1;
35;false;true;0;1;REQ001
37;false;true;0;1;
40;true;false;0;1;
43;true;false;0;1;
45;true;false;0;1;
48;false;true;0;1;
50;false;false;0;1;
52;false;true;0;1;
55;false;false;0;1;
58;true;false;3;1;REQ002
60;true;false;3;1;
62;true;true;3;1;
64;true;true;3;1;
66;false;true;3;1;
69;false;false;1;1;REQ004
71;true;false;1;1;
73;false;true;0;1;REQ001
76;true;true;0;1;
78;true;false;0;1;
81;true;true;0;1;
