TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
31;false;true;false;false;5;REQ007
56;true;true;false;true;5;REQ008
91;true;true;true;true;5;
122;true;false;true;false;4;REQ005
172;false;false;true;true;0;REQ001
210;true;false;true;true;4;REQ005
241;false;false;true;false;2;REQ003
259;true;true;false;false;2;
299;true;false;true;false;4;REQ005
320;false;false;true;true;0;REQ001
368;true;false;true;false;4;REQ005
387;true;true;false;false;4;REQ006
423;true;true;true;true;4;
454;false;false;true;true;0;REQ001
474;false;true;true;false;5;REQ007
524;false;true;false;true;5;REQ007
572;false;false;true;false;2;REQ003
606;false;true;false;true;5;REQ007
646;false;true;true;false;5;REQ007
697;true;true;false;true;5;REQ008
712;false;true;false;true;5;REQ007
751;true;true;false;true;5;REQ008
775;false;true;false;true;5;REQ007
792;true;true;false;false;5;REQ008
829;false;true;false;true;5;REQ007
