TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
234;1;0;81;0;0;REQ005REQ012REQ004
533;1;0;81;0;0;REQ004
804;1;2;81;3;3;REQ014REQ003
1054;0;1;79;2;1;REQ001REQ010
1339;1;0;79;2;0;REQ012
1671;1;2;80;2;3;REQ014
1980;0;2;79;2;3;
2250;1;1;81;0;0;REQ003REQ012REQ004
2543;1;2;79;2;3;REQ014REQ001
2770;0;2;80;2;3;
3021;1;1;79;2;0;REQ012
3327;0;2;79;2;3;REQ011
3616;1;1;80;2;0;REQ012
3837;1;2;79;2;3;REQ014
4123;1;0;81;0;0;REQ003REQ015REQ004
4451;1;1;80;2;1;REQ001REQ013
4749;0;1;79;2;1;
4983;0;0;79;2;1;
5286;1;1;79;2;0;REQ012
5585;1;1;80;2;0;
5862;0;0;80;2;0;
6183;1;2;81;0;0;REQ012REQ004
6489;0;1;80;2;1;REQ001REQ010
6808;1;1;79;2;0;REQ012
7101;0;1;81;1;1;REQ009REQ016REQ002
