TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
30;false;7;true;on ;low ;false;
81;true;10;true;off ;high ;false;REQ001REQ002REQ011
100;false;8;true;on ;low ;false;REQ004REQ003REQ010
147;false;4;true;on ;low ;false;
157;true;6;false;off ;low ;true;REQ005REQ009
181;true;5;false;off ;low ;true;
219;false;6;false;off ;low ;true;
243;false;3;true;on ;low ;false;REQ006REQ010
274;false;1;true;on ;low ;false;
291;true;6;true;on ;low ;false;
322;false;11;true;off ;high ;false;REQ001REQ002REQ011
331;false;7;true;on ;low ;false;REQ004REQ003REQ010
360;false;3;false;on ;low ;false;
383;true;9;false;off ;permitted ;true;REQ005REQ001REQ011
404;true;8;false;off ;low ;true;REQ003
419;false;6;false;off ;low ;true;
464;false;8;false;off ;low ;true;
477;false;2;false;off ;low ;true;
488;true;0;true;on ;low ;false;REQ006REQ010
525;false;7;false;on ;low ;false;
541;true;10;true;off ;high ;false;REQ001REQ002REQ011
555;true;8;true;on ;low ;false;REQ004REQ003REQ010
604;false;4;true;on ;low ;false;
632;true;8;true;on ;low ;false;
652;false;0;false;on ;low ;false;
686;false;1;true;on ;low ;false;
712;false;10;true;off ;high ;false;REQ001REQ011REQ002
752;false;6;true;on ;low ;false;REQ004REQ003REQ010
786;true;2;false;off ;low ;true;REQ005REQ009
805;false;5;true;on ;low ;false;REQ006REQ010
841;false;10;true;off ;high ;false;REQ001REQ011REQ002
851;false;4;true;on ;low ;false;REQ004REQ003REQ010
899;false;1;false;on ;low ;false;
914;false;11;true;off ;high ;false;REQ001REQ011REQ002
945;false;1;false;on ;low ;false;REQ004REQ003REQ010
980;false;9;true;off ;permitted ;false;REQ001REQ011
