TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
334;1;2;80;2;0;REQ012
673;1;1;79;2;1;REQ013
952;0;1;79;2;1;
1186;0;0;79;2;1;
1435;0;2;81;3;3;REQ011REQ003
1704;1;0;80;2;0;REQ012REQ001
2020;0;0;81;0;0;REQ009REQ004
2341;1;0;79;2;0;REQ012REQ001
2596;1;1;79;2;1;REQ013
2836;0;2;79;2;3;REQ011
3083;1;2;81;0;0;REQ012REQ004
3385;1;1;79;2;1;REQ001REQ013
3723;0;0;81;1;1;REQ002
3989;1;0;80;2;0;REQ001REQ012
4308;1;2;81;3;3;REQ004REQ014REQ003
4585;1;1;81;1;1;REQ013REQ002
4848;1;1;81;1;1;REQ002
5116;1;0;81;0;0;REQ015REQ004
5372;1;1;81;1;1;REQ013REQ002
5629;0;1;81;1;1;REQ002
5879;0;0;80;2;1;REQ001
6208;0;2;79;2;3;REQ011
6512;1;1;79;2;0;REQ012
6831;0;2;79;2;3;REQ011
7079;0;0;81;3;3;REQ008REQ003
