TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
19;false;false;false;false;3;REQ004
40;false;true;true;true;5;REQ007
60;false;true;false;false;5;REQ007
111;false;false;true;false;2;REQ003
149;true;true;false;false;2;
181;true;true;false;true;2;
230;true;false;false;true;4;REQ005
264;false;true;true;true;5;REQ007
295;true;false;false;true;4;REQ005
307;false;false;false;false;3;REQ004
327;false;true;false;true;5;REQ007
349;true;true;false;false;5;REQ008
381;true;false;false;false;4;REQ005
431;false;false;false;true;1;REQ002
446;false;false;false;true;1;REQ002
467;true;true;true;false;1;
502;false;false;false;true;1;REQ002
532;false;false;true;true;0;REQ001
561;false;true;false;true;5;REQ007
595;false;false;false;false;3;REQ004
621;false;true;true;false;5;REQ007
660;true;true;true;false;5;REQ008
676;false;false;false;true;1;REQ002
720;false;true;false;false;5;REQ007
734;true;false;false;false;4;REQ005
