TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
331;1;1;79;2;0;REQ012
667;0;0;80;2;0;
970;0;2;81;3;3;REQ011REQ003
1310;1;2;80;2;0;REQ012REQ001
1591;1;0;81;0;0;REQ009REQ004
1851;1;2;80;2;3;REQ014REQ001
2079;0;0;80;2;3;
2347;0;0;80;2;3;
2676;0;1;79;2;1;REQ010
2907;1;0;81;0;0;REQ007REQ012REQ004
3208;0;2;79;2;3;REQ001REQ011
3548;0;2;79;2;3;
3797;1;2;80;2;0;REQ012
4094;1;1;80;2;1;REQ013
4355;0;2;79;2;3;REQ011
4655;0;0;81;3;3;REQ003
4927;1;2;80;2;0;REQ001REQ012
5233;1;0;80;2;0;
5573;1;0;81;0;0;REQ009REQ004
5793;0;2;79;2;3;REQ001REQ011
6109;1;0;79;2;0;REQ012
6378;1;1;80;2;1;REQ013
6716;1;1;79;2;1;
7040;1;0;79;2;0;REQ015
7260;0;2;80;2;3;REQ011
