TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;true;0;0;REQ001
6;false;true;0;0;
8;false;false;0;0;
11;true;true;0;0;
14;true;true;0;0;
16;true;true;0;0;
19;false;true;0;0;
21;false;true;0;0;
24;false;true;0;0;
27;false;true;0;0;
30;true;false;0;0;
32;true;true;0;0;
35;true;false;0;0;
38;false;false;0;0;
40;false;false;0;0;
43;true;true;0;0;
45;true;true;0;0;
47;true;false;0;0;
49;false;true;0;0;
51;false;true;0;0;
54;true;false;0;0;
57;false;false;0;0;
59;true;false;2;0;REQ003
62;false;true;2;0;
64;false;true;2;0;
67;true;true;2;0;
70;true;true;2;0;
73;false;true;2;0;
75;false;false;2;0;
77;true;true;2;0;
80;false;true;2;0;
83;false;false;2;0;
