TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
333;0;2;79;2;3;REQ011
658;0;2;79;2;3;
905;0;1;80;2;1;REQ010
1218;1;0;81;0;0;REQ012REQ004
1521;0;0;81;0;0;REQ004
1795;1;0;81;0;0;REQ004REQ012
2127;1;2;80;2;3;REQ001REQ014
2347;1;2;81;3;3;REQ003
2635;0;0;79;2;3;REQ001
2882;1;1;79;2;0;REQ012
3121;1;1;80;2;0;
3449;0;1;81;1;1;REQ016REQ002
3684;1;0;79;2;0;REQ001REQ012
3909;1;1;80;2;1;REQ013
4204;0;1;81;1;1;REQ002
4462;0;1;79;2;1;REQ001
4763;1;2;80;2;0;REQ012
5023;0;0;79;2;0;
5362;1;2;81;0;0;REQ009REQ012REQ004
5674;0;1;80;2;1;REQ001REQ010
5896;1;2;80;2;0;REQ012
6202;1;0;81;0;0;REQ009REQ004
6493;0;2;80;2;3;REQ011REQ001
6720;0;2;80;2;3;
7044;1;2;81;0;0;REQ008REQ012REQ004
