TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
289;0;1;81;1;1;REQ010REQ002
552;1;1;80;2;0;REQ001REQ012
808;1;0;79;2;0;
1060;1;2;79;2;3;REQ014
1306;1;0;81;0;0;REQ015REQ004
1643;0;0;81;0;0;REQ004
1949;0;2;79;2;3;REQ011REQ001
2195;1;2;81;0;0;REQ003REQ012REQ004
2499;1;0;81;0;0;REQ004
2738;1;0;81;0;0;REQ004
3009;1;2;80;2;3;REQ001REQ014
3326;1;1;81;1;1;REQ003REQ013REQ002
3608;1;0;79;2;0;REQ015REQ001
3894;0;0;79;2;0;
4135;0;2;80;2;3;REQ011
4423;1;0;81;0;0;REQ003REQ012REQ004
4684;0;2;81;3;3;REQ004REQ011REQ003
4917;1;0;79;2;0;REQ012REQ001
5139;1;2;81;3;3;REQ009REQ004REQ014REQ003
5393;1;0;81;0;0;REQ015REQ004
5654;1;1;80;2;1;REQ001REQ013
5940;0;0;81;1;1;REQ002
6256;0;2;81;3;3;REQ002REQ011REQ003
6522;1;1;80;2;0;REQ001REQ012
6767;0;1;80;2;1;REQ016
