TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
14;false;true;true;false;5;REQ007
48;false;false;false;false;3;REQ004
94;false;false;true;true;0;REQ001
123;true;true;false;true;0;
149;true;false;false;true;4;REQ005
190;true;false;false;true;4;REQ005
207;false;false;true;false;2;REQ003
231;true;true;true;false;2;
259;false;false;true;true;0;REQ001
294;false;false;false;true;1;REQ002
341;true;true;true;true;1;
352;true;true;false;true;1;
366;true;false;false;true;4;REQ005
400;false;false;true;false;2;REQ003
417;true;true;true;false;2;
467;false;false;false;true;1;REQ002
502;false;false;true;false;2;REQ003
542;false;false;false;false;3;REQ004
583;false;false;false;true;1;REQ002
617;false;true;false;true;5;REQ007
633;false;true;true;true;5;REQ007
654;false;false;true;true;0;REQ001
676;false;true;false;false;5;REQ007
700;false;true;true;false;5;REQ007
737;true;true;true;false;5;REQ008
