TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
34;true;false;false;true;4;REQ005
63;false;false;true;true;0;REQ001
78;true;false;false;true;4;REQ005
108;true;false;false;true;4;REQ005
123;false;true;true;true;5;REQ007
138;false;true;false;false;5;REQ007
168;true;true;true;true;5;REQ008
212;true;true;true;true;5;
224;true;false;false;false;4;REQ005
234;true;false;true;true;4;REQ005
273;true;true;true;false;4;REQ006
283;false;false;false;true;1;REQ002
322;true;false;true;true;4;REQ005
360;false;true;false;false;5;REQ007
387;true;true;true;true;5;REQ008
405;false;false;false;false;3;REQ004
456;true;true;true;false;3;
471;false;false;true;true;0;REQ001
492;true;true;false;true;0;
510;false;false;false;false;3;REQ004
520;true;false;false;true;4;REQ005
545;false;true;false;true;5;REQ007
556;true;false;false;true;4;REQ005
587;true;false;true;true;4;REQ005
612;true;false;false;false;4;REQ005
