TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
286;1;1;79;2;0;REQ012
535;1;0;79;2;0;
814;1;0;81;0;0;REQ004
1112;0;2;79;2;3;REQ001REQ011
1366;1;1;80;2;0;REQ012
1616;1;1;81;0;0;REQ004
1925;1;1;80;2;0;REQ001
2216;1;1;79;2;0;
2553;0;2;80;2;3;REQ011
2880;0;1;79;2;1;REQ010
3218;0;0;79;2;1;
3535;1;2;79;2;0;REQ012
3874;1;0;80;2;0;
4171;0;1;80;2;1;REQ010
4407;0;1;79;2;1;
4740;0;1;79;2;1;
5013;1;0;80;2;0;REQ012
5251;0;1;79;2;1;REQ010
5565;1;0;81;0;0;REQ002REQ012REQ004
5835;1;0;79;2;0;REQ001
6141;1;1;80;2;1;REQ013
6393;0;0;81;1;1;REQ007REQ002
6682;1;1;81;0;0;REQ002REQ012REQ004
6961;0;1;80;2;1;REQ001REQ016
7298;1;2;79;2;0;REQ012
