TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
253;0;1;81;1;1;REQ005REQ010REQ002
488;1;2;79;2;0;REQ001REQ012
759;0;2;79;2;3;REQ017
1088;0;1;81;1;1;REQ003REQ010REQ002
1370;0;0;79;2;1;REQ001
1702;1;0;79;2;0;REQ012
1927;1;0;80;2;0;
2190;0;1;80;2;1;REQ010
2415;1;1;79;2;0;REQ012
2714;0;1;80;2;1;REQ016
3016;0;2;80;2;3;REQ011
3347;0;2;80;2;3;
3618;1;1;80;2;0;REQ012
3911;0;0;80;2;0;
4188;0;1;79;2;1;REQ010
4441;0;2;80;2;3;REQ011
4728;1;1;81;0;0;REQ012REQ004
5034;0;1;79;2;1;REQ001REQ016
5338;1;0;79;2;0;REQ012
5592;0;0;80;2;0;
5913;0;2;80;2;3;REQ011
6242;1;2;81;0;0;REQ008REQ012REQ004
6567;1;0;80;2;0;REQ001
6902;0;1;79;2;1;REQ010
7149;0;1;79;2;1;
