TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;true;0;0;REQ001
6;false;false;0;0;
8;true;true;0;0;
10;false;true;0;0;
13;false;false;0;0;
16;false;false;0;0;
19;false;false;0;0;
21;true;false;3;0;REQ002
24;true;false;3;0;
26;true;false;3;0;
28;true;false;3;0;
31;false;false;1;1;REQ004
33;false;false;1;1;
35;false;true;0;1;REQ001
38;false;true;0;1;
40;false;false;0;1;
42;true;false;3;1;REQ002
44;false;false;3;1;
46;false;false;3;1;
49;false;true;3;1;
52;true;false;1;1;REQ004
55;true;false;1;1;
57;false;false;1;1;
60;true;false;1;1;
63;false;false;1;1;
65;false;false;1;1;
68;false;true;0;1;REQ001
71;false;true;0;1;
73;true;false;0;1;
76;true;false;0;1;
78;false;false;0;1;
80;false;false;0;1;
