TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
281;0;1;80;2;1;REQ010
611;0;1;79;2;1;
882;0;0;79;2;1;
1219;1;0;80;2;0;REQ012
1444;1;0;81;0;0;REQ009REQ004
1693;0;2;81;3;3;REQ004REQ011REQ003
1927;1;0;79;2;0;REQ001REQ012
2227;1;2;79;2;3;REQ014
2544;1;2;79;2;3;
2842;1;2;79;2;3;
3146;0;0;79;2;3;
3464;1;0;80;2;0;REQ012
3759;1;1;79;2;1;REQ013
4045;1;2;81;3;3;REQ002REQ014REQ003
4383;0;2;80;2;3;REQ001
4646;0;2;81;3;3;REQ003
4882;1;2;81;0;0;REQ012REQ004
5190;1;0;80;2;0;REQ001
5440;1;2;81;3;3;REQ009REQ004REQ014REQ003
5764;0;1;80;2;1;REQ001REQ010
6036;0;1;80;2;1;
6318;0;2;80;2;3;REQ011
6651;0;1;79;2;1;REQ010
6957;1;1;79;2;0;REQ012
7285;1;0;79;2;0;
