TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
334;0;1;80;2;1;REQ010
656;0;1;81;1;1;REQ007REQ002
951;0;2;79;2;3;REQ001REQ011
1223;1;0;79;2;0;REQ012
1443;0;1;81;1;1;REQ004REQ010REQ002
1674;1;1;80;2;0;REQ012REQ001
1926;1;2;79;2;3;REQ014
2194;0;1;81;1;1;REQ008REQ010REQ002
2428;1;0;79;2;0;REQ001REQ012
2662;0;2;81;3;3;REQ009REQ004REQ011REQ003
2918;0;2;79;2;3;REQ001
3170;1;1;79;2;0;REQ012
3455;0;0;81;0;0;REQ009REQ004
3744;0;2;79;2;3;REQ001REQ011
4064;1;2;81;0;0;REQ003REQ012REQ004
4393;1;2;80;2;0;REQ001
4662;1;0;79;2;0;
4964;1;1;79;2;1;REQ013
5191;0;2;80;2;3;REQ011
5487;0;2;79;2;3;
5718;1;1;80;2;0;REQ012
5972;0;1;81;1;1;REQ009REQ004REQ016REQ002
6293;0;0;81;1;1;REQ002
6577;0;0;79;2;1;REQ001
6908;0;1;79;2;1;REQ010
