TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
306;0;1;81;1;1;REQ005REQ010REQ002
544;0;1;80;2;1;REQ001
856;0;2;80;2;3;REQ011
1117;1;1;81;0;0;REQ012REQ004
1361;0;2;79;2;3;REQ011REQ001
1700;0;1;81;1;1;REQ008REQ010REQ002
1947;0;1;81;1;1;REQ002
2211;0;2;79;2;3;REQ011REQ001
2487;1;2;81;0;0;REQ012REQ004
2707;1;2;81;0;0;REQ004
3006;0;1;79;2;1;REQ010REQ001
3261;1;1;80;2;0;REQ012
3504;0;2;81;3;3;REQ004REQ011REQ003
3751;0;1;79;2;1;REQ010REQ001
4025;0;2;79;2;3;REQ011
4279;0;0;80;2;3;
4620;1;2;79;2;0;REQ012
4904;1;1;79;2;1;REQ013
5222;1;0;79;2;0;REQ015
5469;0;1;79;2;1;REQ010
5790;1;1;80;2;0;REQ012
6106;1;0;80;2;0;
6445;0;2;79;2;3;REQ011
6754;1;1;81;0;0;REQ012REQ004
6975;1;0;81;0;0;REQ004
