TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
21;true;true;true;true;3;
53;true;true;true;false;3;
91;true;false;true;true;4;REQ005
108;true;false;true;true;4;REQ005
142;true;true;false;true;4;REQ006
182;true;false;true;false;4;REQ005
220;true;true;true;true;4;REQ006
263;false;false;false;true;1;REQ002
274;true;false;false;false;4;REQ005
309;false;false;false;true;1;REQ002
358;true;true;false;true;1;
378;true;false;false;true;4;REQ005
408;false;true;true;false;5;REQ007
436;true;false;false;true;4;REQ005
485;false;true;true;true;5;REQ007
532;true;false;true;false;4;REQ005
546;false;false;true;true;0;REQ001
589;true;false;true;false;4;REQ005
635;true;true;true;true;4;REQ006
662;false;true;true;true;5;REQ007
672;true;false;false;true;4;REQ005
710;false;false;false;true;1;REQ002
742;false;true;true;true;5;REQ007
778;true;true;true;false;5;REQ008
787;true;false;false;true;4;REQ005
