TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
48;true;0;true;on ;low ;false;
61;false;8;true;on ;low ;false;
83;true;4;false;off ;low ;true;REQ005REQ009
99;false;11;true;off ;high ;false;REQ001REQ006REQ002
138;false;7;false;on ;low ;false;REQ004REQ003REQ010
173;false;2;false;on ;low ;false;
213;false;10;false;off ;high ;false;REQ001REQ011REQ002
253;false;6;false;on ;low ;false;REQ004REQ003REQ010
303;false;9;true;off ;permitted ;false;REQ001REQ011
324;false;7;false;on ;low ;false;REQ003REQ010
338;true;3;true;on ;low ;false;
382;false;2;false;on ;low ;false;
421;true;11;false;off ;high ;false;REQ001REQ005REQ011REQ002REQ008
448;false;11;false;off ;high ;false;
487;false;5;false;on ;low ;false;REQ004REQ003REQ010
517;true;4;false;off ;low ;true;REQ005REQ009
565;true;7;false;off ;low ;true;
610;false;3;true;on ;low ;false;REQ006REQ010
624;true;0;true;on ;low ;false;
650;false;2;true;on ;low ;false;
668;true;7;false;off ;low ;true;REQ005REQ009
682;false;0;true;on ;low ;false;REQ006REQ010
706;true;7;false;off ;low ;true;REQ005REQ009
755;true;3;false;off ;low ;true;
772;false;7;true;on ;low ;false;REQ006REQ010
800;true;2;false;off ;low ;true;REQ005REQ009
815;true;5;false;off ;low ;true;
834;false;8;false;off ;low ;true;
855;true;10;false;off ;high ;false;REQ001REQ002REQ007
873;false;4;true;on ;low ;false;REQ004REQ003REQ010
921;true;6;false;off ;low ;true;REQ005REQ009
936;false;2;true;on ;low ;false;REQ006REQ010
972;true;11;false;off ;high ;false;REQ001REQ005REQ011REQ002REQ008
1019;true;10;false;off ;high ;false;
1055;false;6;true;on ;low ;false;REQ004REQ003REQ010
1098;true;3;false;off ;low ;true;REQ005REQ009
