TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
294;0;1;79;2;1;REQ010
596;1;0;79;2;0;REQ012
825;1;2;80;2;3;REQ014
1047;0;2;81;3;3;REQ008REQ003
1381;0;1;79;2;1;REQ010REQ001
1632;1;0;80;2;0;REQ012
1942;0;2;81;3;3;REQ009REQ011REQ003
2225;0;0;80;2;3;REQ001
2543;1;2;81;0;0;REQ008REQ003REQ012REQ004
2810;1;2;81;0;0;REQ004
3104;0;0;80;2;0;REQ001
3438;0;1;79;2;1;REQ010
3760;1;1;79;2;0;REQ012
4072;1;2;81;3;3;REQ009REQ004REQ014REQ003
4390;0;0;79;2;3;REQ001
4686;0;0;79;2;3;
4953;0;0;79;2;3;
5258;1;2;80;2;0;REQ012
5532;0;2;80;2;3;REQ017
5832;0;0;81;3;3;REQ003
6084;1;2;79;2;0;REQ012REQ001
6418;0;0;81;0;0;REQ004
6676;0;1;81;1;1;REQ010REQ002
6941;0;2;80;2;3;REQ011REQ001
7216;0;1;80;2;1;REQ010
