TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;true;0;0;REQ001
6;true;false;0;0;
9;false;true;0;0;
12;false;true;0;0;
14;true;true;0;0;
17;false;true;0;0;
20;true;false;0;0;
22;true;true;0;0;
24;true;false;0;0;
26;true;false;0;0;
28;true;true;0;0;
30;false;false;0;0;
33;true;true;0;0;
36;false;false;0;0;
39;false;false;0;0;
42;false;true;0;0;
44;true;false;0;0;
47;false;true;0;0;
49;true;true;0;0;
52;true;true;0;0;
54;false;false;0;0;
57;false;false;0;0;
59;true;true;0;0;
62;true;false;0;0;
64;true;false;0;0;
66;true;true;0;0;
68;true;true;0;0;
71;false;false;0;0;
74;true;false;2;0;REQ003
76;false;false;2;0;
78;true;false;2;0;
81;false;false;2;0;
