TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
33;false;false;true;true;0;REQ001
44;true;true;false;true;0;
76;false;false;true;false;2;REQ003
96;true;false;false;true;4;REQ005
116;true;true;true;false;4;REQ006
132;false;false;false;true;1;REQ002
157;false;false;true;false;2;REQ003
190;false;true;true;true;5;REQ007
206;true;false;true;true;4;REQ005
250;false;false;true;true;0;REQ001
275;true;false;true;true;4;REQ005
301;true;false;false;true;4;REQ005
338;true;false;false;false;4;REQ005
372;true;false;false;true;4;REQ005
420;false;true;false;false;5;REQ007
449;true;false;true;false;4;REQ005
485;false;false;false;false;3;REQ004
509;true;true;true;false;3;
543;true;false;false;true;4;REQ005
567;false;false;false;true;1;REQ002
601;true;false;true;false;4;REQ005
644;false;true;true;true;5;REQ007
670;true;false;false;false;4;REQ005
701;true;true;true;false;4;REQ006
739;true;true;false;false;4;
