TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
282;1;0;80;2;0;REQ012
597;1;2;80;2;3;REQ014
888;0;2;79;2;3;
1121;0;1;81;1;1;REQ003REQ010REQ002
1398;1;1;79;2;0;REQ012REQ001
1734;1;1;81;0;0;REQ009REQ004
2072;0;0;80;2;0;REQ001
2409;0;2;79;2;3;REQ011
2649;0;2;81;3;3;REQ008REQ003
2980;0;1;81;1;1;REQ010REQ002
3258;1;0;79;2;0;REQ012REQ001
3556;0;0;81;0;0;REQ009REQ004
3860;0;0;80;2;0;REQ001
4091;1;1;80;2;0;REQ012
4377;0;2;80;2;3;REQ011
4688;0;1;79;2;1;REQ010
4972;0;2;81;3;3;REQ011REQ003
5267;0;0;81;3;3;REQ003
5565;1;1;80;2;0;REQ001REQ012
5898;1;2;81;3;3;REQ014REQ003
6192;1;2;80;2;3;REQ001
6523;1;2;79;2;3;
6821;1;0;81;0;0;REQ015REQ004
7089;1;0;79;2;0;REQ001
7371;0;0;81;0;0;REQ004
