TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
39;false;true;false;false;5;REQ007
75;true;false;false;true;4;REQ005
114;false;false;false;false;3;REQ004
135;true;false;true;true;4;REQ005
180;true;true;false;true;4;REQ006
206;true;true;false;true;4;
249;false;false;false;true;1;REQ002
270;true;true;false;false;1;
303;true;true;true;true;1;
312;false;false;true;true;0;REQ001
335;false;false;false;true;1;REQ002
350;true;false;true;true;4;REQ005
387;false;true;false;true;5;REQ007
433;true;false;false;false;4;REQ005
472;true;true;false;false;4;REQ006
514;false;true;false;true;5;REQ007
561;false;true;false;true;5;REQ007
608;true;true;false;true;5;REQ008
631;false;true;false;true;5;REQ007
665;false;false;true;false;2;REQ003
705;false;true;true;true;5;REQ007
729;true;true;false;false;5;REQ008
741;false;false;false;false;3;REQ004
757;true;false;false;false;4;REQ005
776;false;false;true;true;0;REQ001
