TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;false;1;0;
5;false;false;1;0;
8;false;true;0;0;REQ001
11;true;true;0;0;
14;false;false;0;0;
17;true;false;3;0;REQ002
20;true;true;3;0;
23;true;true;3;0;
26;true;true;3;0;
29;false;true;1;1;REQ004
32;false;true;1;1;
34;true;false;1;1;
37;false;false;1;1;
40;false;true;0;1;REQ001
43;false;false;0;1;
45;true;true;0;1;
47;true;false;0;1;
49;true;false;0;1;
51;false;true;0;1;
53;true;true;0;1;
56;false;false;0;1;
59;false;false;0;1;
62;true;false;3;1;REQ002
64;true;false;3;1;
66;false;true;3;1;
69;false;true;3;1;
71;true;false;3;1;
73;true;true;0;1;REQ004REQ001
76;true;true;0;1;
78;false;true;0;1;
80;true;false;0;1;
82;true;false;0;1;
