TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;true;0;0;REQ001
6;true;true;0;0;
8;true;true;0;0;
10;true;true;0;0;
13;false;false;0;0;
15;true;false;3;0;REQ002
17;false;false;3;0;
19;true;false;3;0;
22;false;false;3;0;
24;false;false;3;0;
27;true;false;1;1;REQ004
30;false;false;1;1;
32;false;false;1;1;
35;true;true;0;1;REQ001
38;false;false;0;1;
40;false;false;0;1;
43;true;false;3;1;REQ002
46;false;true;3;1;
48;true;false;3;1;
51;false;true;3;1;
53;false;true;1;1;REQ004
55;false;true;1;1;
57;true;false;1;1;
59;true;false;1;1;
61;false;true;0;1;REQ001
64;true;true;0;1;
67;true;false;0;1;
70;true;false;0;1;
73;false;true;0;1;
75;false;true;0;1;
77;false;true;0;1;
80;false;false;0;1;
