TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
33;false;false;true;false;2;REQ003
71;true;true;true;false;2;
94;true;true;false;false;2;
141;false;true;false;true;5;REQ007
191;true;false;true;false;4;REQ005
232;true;true;false;true;4;REQ006
274;true;false;true;true;4;REQ005
313;false;true;false;true;5;REQ007
327;false;false;true;true;0;REQ001
363;true;false;false;true;4;REQ005
408;false;true;true;true;5;REQ007
429;true;false;false;true;4;REQ005
446;false;false;true;true;0;REQ001
493;true;false;false;false;4;REQ005
537;true;false;false;true;4;REQ005
562;true;false;true;true;4;REQ005
580;false;false;true;false;2;REQ003
599;false;false;true;true;0;REQ001
632;true;true;false;false;0;
652;true;true;false;false;0;
667;true;false;true;true;4;REQ005
717;false;true;true;true;5;REQ007
753;false;false;false;true;1;REQ002
799;false;false;true;true;0;REQ001
823;false;false;true;false;2;REQ003
