TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
228;1;0;80;2;0;REQ012
515;1;0;79;2;0;
746;1;2;81;3;3;REQ004REQ014REQ003
988;0;0;79;2;3;REQ001
1258;0;0;80;2;3;
1550;1;1;79;2;0;REQ012
1883;1;1;81;0;0;REQ009REQ004
2200;0;1;80;2;1;REQ001REQ016
2487;0;0;81;1;1;REQ007REQ002
2811;1;1;79;2;0;REQ012REQ001
3138;0;0;80;2;0;
3458;1;1;81;0;0;REQ004REQ012
3679;0;0;79;2;0;REQ001
3987;1;1;80;2;0;REQ012
4309;0;0;79;2;0;
4529;1;0;80;2;0;REQ012
4841;0;1;80;2;1;REQ010
5070;0;0;81;1;1;REQ002
5304;1;2;81;0;0;REQ002REQ012REQ004
5585;0;1;79;2;1;REQ010REQ001
5890;0;0;81;1;1;REQ007REQ002
6155;0;2;79;2;3;REQ011REQ001
6409;0;1;81;1;1;REQ010REQ002
6657;1;1;79;2;0;REQ001REQ012
6900;1;0;80;2;0;
