TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
43;false;false;true;false;2;REQ003
87;true;true;true;true;2;
111;false;false;false;true;1;REQ002
146;true;true;true;true;1;
188;false;true;true;false;5;REQ007
218;true;true;false;false;5;REQ008
266;true;true;false;false;5;
281;true;true;false;true;5;
306;false;true;false;true;5;REQ007
338;true;true;true;false;5;REQ008
376;true;true;true;true;5;
386;false;false;true;true;0;REQ001
418;true;false;false;false;4;REQ005
439;true;false;false;true;4;REQ005
476;false;true;true;false;5;REQ007
510;true;true;true;true;5;REQ008
527;true;true;false;false;5;
568;true;false;true;false;4;REQ005
586;true;true;false;true;4;REQ006
615;true;true;false;false;4;
638;false;true;false;true;5;REQ007
663;false;false;true;true;0;REQ001
695;false;false;false;false;3;REQ004
714;false;false;true;true;0;REQ001
739;true;false;false;true;4;REQ005
