TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
41;true;false;true;false;4;REQ005
78;false;false;true;true;0;REQ001
99;false;true;false;false;5;REQ007
109;true;false;false;true;4;REQ005
122;true;false;false;false;4;REQ005
164;true;true;false;false;4;REQ006
215;false;true;false;false;5;REQ007
262;false;true;false;false;5;REQ007
298;false;true;true;false;5;REQ007
348;true;false;true;false;4;REQ005
369;true;true;true;false;4;REQ006
381;false;true;true;true;5;REQ007
429;false;true;true;true;5;REQ007
446;true;true;true;false;5;REQ008
482;false;true;false;false;5;REQ007
517;true;false;false;true;4;REQ005
560;false;false;true;false;2;REQ003
574;true;true;true;false;2;
594;false;true;true;false;5;REQ007
622;true;false;false;false;4;REQ005
651;true;true;true;false;4;REQ006
665;true;false;true;false;4;REQ005
677;true;true;true;false;4;REQ006
706;false;true;false;false;5;REQ007
756;false;true;true;true;5;REQ007
