TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;true;0;0;REQ001
6;true;false;0;0;
9;false;false;0;0;
12;true;false;3;0;REQ002
15;false;false;3;0;
18;false;false;3;0;
20;false;false;3;0;
22;false;false;1;1;REQ004
25;false;true;0;1;REQ001
27;true;false;0;1;
30;true;true;0;1;
33;true;false;0;1;
36;true;true;0;1;
39;false;true;0;1;
42;false;false;0;1;
45;true;false;3;1;REQ002
48;false;true;3;1;
51;false;false;3;1;
53;true;true;3;1;
56;false;false;1;1;REQ004
58;false;false;1;1;
61;true;false;1;1;
63;false;false;1;1;
65;false;false;1;1;
68;false;true;0;1;REQ001
70;true;true;0;1;
72;true;true;0;1;
74;true;false;0;1;
76;false;false;0;1;
79;false;true;0;1;
81;false;true;0;1;
83;false;true;0;1;
