TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
47;true;4;false;off ;low ;true;REQ005REQ009
65;true;5;false;off ;low ;true;
103;false;6;true;on ;low ;false;REQ006REQ010
119;false;2;false;on ;low ;false;
152;false;0;true;on ;low ;false;
165;true;11;false;off ;high ;false;REQ001REQ005REQ011REQ002REQ008
210;true;10;false;off ;high ;false;
245;false;4;true;on ;low ;false;REQ004REQ003REQ010
264;true;7;false;off ;low ;true;REQ005REQ009
308;false;6;false;off ;low ;true;
326;true;9;true;off ;permitted ;false;REQ001REQ006
376;true;6;false;on ;low ;false;REQ003REQ010
421;false;2;true;on ;low ;false;
431;true;0;false;off ;low ;true;REQ005REQ009
450;true;7;true;on ;low ;false;REQ006REQ010
498;true;4;true;on ;low ;false;
525;true;0;true;on ;low ;false;
552;false;10;true;off ;high ;false;REQ001REQ011REQ002
569;true;6;false;off ;low ;true;REQ004REQ003REQ010REQ005REQ009
619;false;8;false;off ;low ;true;
656;true;1;false;off ;low ;true;
689;false;3;true;on ;low ;false;REQ006REQ010
704;true;4;false;off ;low ;true;REQ005REQ009
717;true;9;false;off ;permitted ;true;REQ001
735;false;7;false;off ;low ;true;REQ003
773;true;5;false;off ;low ;true;
819;true;5;false;off ;low ;true;
833;false;4;false;off ;low ;true;
853;true;6;true;on ;low ;false;REQ006REQ010
863;true;7;true;on ;low ;false;
904;false;7;false;on ;low ;false;
930;false;8;false;on ;low ;false;
950;false;6;true;on ;low ;false;
987;false;10;true;off ;high ;false;REQ001REQ002REQ011
1037;false;6;true;on ;low ;false;REQ004REQ003REQ010
1055;true;7;true;on ;low ;false;
